0;Transverse aux secteurs
N3104;Conducteur / Conductrice de navigation fluviale
N3202;Responsable d'exploitation transport fluvial
N3204;Chef / Cheffe d'équipe de manutention portuaire
N3205;Assistant / Assistante d'exploitation du transport fluvial
51;Transports aeriens
;
I1105;Responsable de maintenance et d'exploitation
I1334;Electronicien / Electronicienne de maintenance aéronautique
I1602;Mécanicien / Mécanicienne aéronautique
N1202;Agent / Agente de transit
N1205;Responsable de service transit
N1207;Chef / Cheffe de groupe affrètement
N2101;Personnel Navigant Commercial - PNC -
N2102;Pilote de ligne
N2201;Agent / Agente d'Escale Commerciale aéroportuaire -AEC-
N2202;Contrôleur aérien / Contrôleuse aérienne
N2205;Chef / Cheffe d'escale
N2206;Pilote de drone
N2208;Contrôleur / Contrôleuse de la circulation et de la défense aérienne
52;Entreposage et services auxiliaires des transports
;
H1405;Responsable supply chain en industrie
I1109;Responsable de parc de véhicules
I1111;Responsable technique après-vente des véhicules
I1116;Responsable d'exploitation de stationnement
I1208;Patrouilleur autoroutier / Patrouilleuse autoroutière
M1619;Approvisionneur / Approvisionneuse points de distribution
N1101;Cariste
N1102;Déménageur / Déménageuse
N1103;Préparateur / Préparatrice de commandes
N1105;Manutentionnaire
N1106;Agent / Agente de quai manutentionnaire
N1110;Magasinier / Magasinière
N1112;Chef cariste / Cheffe cariste
N1113;Préparateur / Préparatrice au drive
N1115;Opérateur / Opératrice logistique en entrepôt
N1116;Agent / Agente de quai de messagerie
N1201;Affréteur / Affréteuse
N1202;Agent / Agente de transit
N1203;Technicien / Technicienne gestion douanière
N1204;Coordinateur / Coordinatrice transit en import - export
N1205;Responsable de service transit
N1206;Courtier / Courtière affrètement maritime
N1207;Chef / Cheffe de groupe affrètement
N1301;Responsable logistique
N1302;Responsable entrepôt logistique
N1303;Approvisionneur / Approvisionneuse logistique
N1304;Directeur / Directrice logistique
N2201;Agent / Agente d'Escale Commerciale aéroportuaire -AEC-
N2203;Agent / Agente de piste
N2204;Agent / Agente de trafic aérien
N3201;Responsable d'exploitation transport maritime
N3203;Ouvrier / Ouvrière de manutention portuaire
N3204;Chef / Cheffe d'équipe de manutention portuaire
N4101;Conducteur / Conductrice de poids lourd
N4105;Conducteur-livreur / Conductrice-livreuse
N4113;Conducteur routier international / Conductrice routière internationale
N4115;Conducteur / Conductrice de véhicules Super Lourds
N4116;Conducteur / Conductrice de transport routier de marchandises dangereuses
N4123;Conducteur livreur installateur / Conductrice livreuse installatrice
N4125;Conducteur / Conductrice de transport routier d'animaux vivants
N4126;Conducteur / Conductrice de transport routier en convoi exceptionnel
N4203;Agent / Agente d'exploitation en transport routier de marchandises
N4303;Conducteur / Conductrice d'engins de manœuvre du réseau ferré
53;Activites de poste et de courrier
;
E1309;Responsable d'atelier de façonnage routage
M1603;Facteur / Factrice
M1615;Distributeur / Distributrice de prospectus et imprimés
M1618;Agent / Agente de liaison courrier
M1620;Superviseur / Superviseuse de distributeurs d'imprimés
N1105;Manutentionnaire
N1201;Affréteur / Affréteuse
N4104;Coursier / Coursière
N4105;Conducteur-livreur / Conductrice-livreuse
55;Hebergement
;
C1502;Chargé / Chargée de gestion locative en immobilier
D1242;Linger / Lingère
G1104;Consultant / Consultante tourisme
G1107;Hôte / Hôtesse d'accueil et d'animation de croisière
G1108;Directeur / Directrice de pays d'accueil touristique
G1235;Animateur / Animatrice de séjour de vacances
G1236;Animateur / Animatrice de club de vacances
G1239;Responsable d'animation
G1241;Directeur / Directrice de centre de séjour de vacances
G1302;Yield manager
G1401;Adjoint / Adjointe de direction en hôtellerie-restauration
G1402;Directeur / Directrice d'établissement en hôtellerie-restauration
G1403;Directeur / Directrice de structure touristique
G1407;Econome en hôtellerie-restauration
G1408;Directeur / Directrice de structure d'hébergement touristique
G1410;Directeur / Directrice de la restauration
G1411;Directeur / Directrice d'hôtel
G1412;Directeur / Directrice de parc à thème
G1415;Gérant / Gérante de gîte et chambres d'hôtes
G1416;Directeur / Directrice d'hôtellerie de plein air
G1501;Employé / Employée d'étage
G1502;Employé / Employée d'hôtel
G1503;Gouvernant / Gouvernante d'hôtel
G1601;Chef / Cheffe de cuisine
G1602;Commis / Commise de cuisine
G1609;Cuisinier / Cuisinière
G1701;Concierge d'hôtel
G1702;Bagagiste en établissement hôtelier
G1703;Réceptionniste
G1704;Agent / Agente de réservation en hôtellerie
G1705;Chef / Cheffe concierge d'hôtel
G1706;Chef / Cheffe de réception en hôtellerie
G1707;Responsable de vestiaire
G1708;Voiturier / Voiturière
G1801;Barman / Barmaid
G1802;Maître / Maîtresse d'hôtel
G1804;Sommelier / Sommelière
G1806;Chef sommelier / Cheffe sommelière
G1808;Chef barman / Cheffe barmaid
G1809;Barista
I1203;Agent / Agente d'entretien du bâtiment
56;Restauration
;
D1103;Charcutier-traiteur / Charcutière-traiteuse
D1104;Pâtissier / Pâtissière
D1106;Vendeur / Vendeuse en épicerie
D1108;Chef boulanger / Cheffe boulangère
D1111;Chef / Cheffe de laboratoire en charcuterie
D1112;Chef charcutier-traiteur / Cheffe charcutière-traiteuse
D1115;Chocolatier / Chocolatière
D1117;Chef pâtissier / Cheffe pâtissière
D1118;Glacier / Glacière
G1401;Adjoint / Adjointe de direction en hôtellerie-restauration
G1402;Directeur / Directrice d'établissement en hôtellerie-restauration
G1404;Responsable d'établissement de restauration collective
G1407;Econome en hôtellerie-restauration
G1408;Directeur / Directrice de structure d'hébergement touristique
G1409;Manager en restauration rapide
G1410;Directeur / Directrice de la restauration
G1411;Directeur / Directrice d'hôtel
G1413;Directeur / Directrice de restaurant
G1601;Chef / Cheffe de cuisine
G1602;Commis / Commise de cuisine
G1603;Equipier polyvalent / Equipière polyvalente de restauration rapide
G1604;Pizzaïolo / Pizzaïola
G1605;Plongeur officier / Plongeuse officière de cuisine
G1606;Cuisinier / Cuisinière de collectivité
G1607;Employé / Employée de restauration collective
G1608;Ecailler / Ecaillère
G1609;Cuisinier / Cuisinière
G1610;Pâtissier / Pâtissière de restaurant
G1611;Steward / Hôtesse de train
G1612;Crêpier / Crêpière
G1613;Restaurateur ambulant / Restauratrice ambulante
G1801;Barman / Barmaid
G1802;Maître / Maîtresse d'hôtel
G1803;Serveur / Serveuse en restauration
G1804;Sommelier / Sommelière
G1805;Gérant / Gérante de café, bar-brasserie
G1806;Chef sommelier / Cheffe sommelière
G1807;Gérant / Gérante de bar-tabac
G1808;Chef barman / Cheffe barmaid
G1809;Barista
G1810;Chef / Cheffe de rang
H1308;Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)
N4123;Conducteur livreur installateur / Conductrice livreuse installatrice
58;Edition
;
E1102;Ecrivain / Ecrivaine
E1105;Editeur / Editrice
E1106;Journaliste
E1108;Traducteur / Traductrice
E1110;Directeur / Directrice de la rédaction
E1112;Chargé / Chargée de communication
E1114;Reporter / Reportrice
E1115;Chef / Cheffe de projet jeux vidéo
E1116;Responsable d'édition en presse
E1118;Présentateur / Présentatrice journaliste
E1122;Transcripteur adaptateur / Transcriptrice adaptatrice
E1125;Concepteur / Conceptrice de jeux vidéo
E1303;Chef / Cheffe de fabrication en industrie graphique
E1305;Préparateur-correcteur / Préparatrice-correctrice en industrie graphique
E1308;Technicien / Technicienne des industries graphiques
E1312;Lecteur-correcteur / Lectrice-correctrice
K2411;Musicologue
M1825;Coordinateur / Coordinatrice de production web
59;Production de films cinematographiques, de video et de programmes de television, enregistrement sonore et edition musicale
;
E1102;Ecrivain / Ecrivaine
E1202;Opérateur / Opératrice de laboratoire cinématographique
E1207;Motion designer
E1408;Responsable trafic création
E1414;Chargé / Chargée de diffusion publicitaire
E1415;Directeur / Directrice de la production publicitaire
L1103;Animateur / Animatrice d'antenne
L1203;Comédien / Comédienne
L1207;Cascadeur / Cascadeuse
L1210;Orchestrateur / Orchestratrice
L1301;Metteur / Metteuse en scène
L1302;Producteur / Productrice de film
L1304;Premier assistant réalisateur / Première assistante réalisatrice
L1305;Directeur / Directrice artistique spectacle
L1306;Réalisateur / Réalisatrice audiovisuel
L1307;Assistant / Assistante mise en scène
L1308;Directeur / Directrice de production audiovisuelle et cinéma
L1309;Coordinateur / Coordinatrice d'intimité
L1501;Maquilleur / Maquilleuse spectacle
L1502;Costumier / Costumière
L1503;Accessoiriste
L1505;Opérateur / Opératrice de prise de vues
L1507;Monteur / Monteuse vidéo
L1508;Régisseur / Régisseuse du son
L1510;Animateur / Animatrice 3D - films d'animation
L1511;Technicien / Technicienne spectacle en site de divertissement
L1512;Régisseur / Régisseuse de spectacles
L1513;Scénographe
L1514;Chef opérateur / Cheffe opératrice image
L1515;Technicien / Technicienne plateau
L1516;Coiffeur / Coiffeuse spectacle
L1517;Chef coiffeur / Cheffe coiffeuse spectacle
L1518;Chef habilleur / Cheffe habilleuse
L1519;Technicien / Technicienne vidéo
L1520;Concepteur / Conceptrice de costumes
L1521;Chef / Cheffe accessoiriste
L1522;Opérateur / Opératrice d'effets visuels physiques audiovisuel et cinéma
L1524;Chef décorateur / Cheffe décoratrice spectacle
L1526;Régisseur / Régisseuse de scène
L1527;Chef constructeur / Cheffe constructrice en décors
M1719;Chargé / Chargée des relations avec les influenceurs
N2206;Pilote de drone
6;Extraction d'hydrocarbures
;
F1128;Géotechnicien / Géotechnicienne
F1129;Ingénieur / Ingénieure réservoir
F1143;Géophysicien / Géophysicienne
60;Programmation et diffusion
;
E1105;Editeur / Editrice
E1106;Journaliste
E1110;Directeur / Directrice de la rédaction
E1114;Reporter / Reportrice
E1118;Présentateur / Présentatrice journaliste
E1204;Technicien / Technicienne d’exploitation cinématographique
L1207;Cascadeur / Cascadeuse
L1304;Premier assistant réalisateur / Première assistante réalisatrice
L1306;Réalisateur / Réalisatrice audiovisuel
L1308;Directeur / Directrice de production audiovisuelle et cinéma
L1505;Opérateur / Opératrice de prise de vues
L1508;Régisseur / Régisseuse du son
L1514;Chef opérateur / Cheffe opératrice image
61;Telecommunications
;
F1623;Monteur / Monteuse installation réseaux mobiles
I1104;Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles
I1106;Responsable de maintenance réseaux des territoires connectés
I1307;Antenniste
I1311;Technicien / Technicienne installation réseaux câblés fibre optique
I1312;Technicien / Technicienne réseaux mobiles
I1314;Monteur installateur / Monteuse installatrice d'équipements connectés
I1315;Monteur raccordeur / Monteuse raccordeuse fibre optique
I1317;Technicien / Technicienne de maintenance fibre optique
I1319;Technicien / Technicienne de maintenance réseaux mobiles
I1320;Technicien / Technicienne de maintenance d'équipements connectés
I1330;Technicien / Technicienne d'installation de centrales téléphoniques
I1407;Réparateur / Réparatrice en produits de télécommunication et multimédia
M1614;Standardiste
M1804;Ingénieur / Ingénieure télécoms
M1807;Opérateur / Opératrice télécom aux armées
M1816;Technicien / Technicienne réseaux informatiques et télécoms
M1822;Ingénieur / Ingénieure systèmes et réseaux informatiques
M1826;Ingénieur / Ingénieure supervision IT Datacenter
M1829;Ingénieur / Ingénieure systèmes et réseaux des territoires connectés
M1830;Administrateur / Administratrice réseaux - télécoms
M1835;Architecte systèmes et réseaux des territoires connectés
M1840;Directeur / Directrice de projets des territoires connectés
M1846;Ingénieur / Ingénieure Cybersécurité Datacenter
M1854;Administrateur / Administratrice réseau informatique
M1857;Urbaniste Datacenter
M1862;Responsable d'exploitation fibre optique
M1885;Responsable télécoms
N1208;Opérateur / Opératrice de traitement de valeurs
62;Programmation, conseil et autres activites informatiques
;
D1408;Conseiller / Conseillère clientèle à distance
D1416;Commercial / Commerciale auprès d'une clientèle d'entreprises
E1101;Community manager
E1115;Chef / Cheffe de projet jeux vidéo
E1125;Concepteur / Conceptrice de jeux vidéo
E1206;UX - UI Designer
E1207;Motion designer
E1210;Web designer
E1410;Responsable programmatique
H1101;Ingénieur / Ingénieure support technique
H1106;Responsable support technique clients
H1107;Directeur / Directrice assistance technique
H1206;Ingénieur / Ingénieure R&D en industrie
H1208;Automaticien / Automaticienne en bureau d'études
H1212;Ingénieur / Ingénieure brevet en industrie
H1218;Responsable de projet recherche et développement
I1106;Responsable de maintenance réseaux des territoires connectés
I1303;Technicien / Technicienne de maintenance de distributeurs automatiques
I1320;Technicien / Technicienne de maintenance d'équipements connectés
I1333;Chef / Cheffe d'équipe d'installation industrielle
I1401;Technicien / Technicienne de maintenance en informatique
I1403;Technicien / Technicienne Datacenter
I1404;Conseiller / Conseillère support technique informatique
I1405;Administrateur / Administratrice bureautique
I1406;Superviseur / Superviseuse hot line en informatique
I1409;Agent / Agente de maintenance en bureautique
K2408;Mathématicien / Mathématicienne
L1507;Monteur / Monteuse vidéo
M1305;Fablab Manager
M1405;Data scientist
M1423;Chief Data Officer
M1426;Chief digital officer - Responsable de la transformation digitale
M1717;Responsable innovation
M1801;Administrateur / Administratrice de systèmes d'information (SI)
M1802;Expert / Experte systèmes et réseaux informatiques
M1803;Directeur / Directrice des systèmes d'information -DSI-
M1805;Développeur / Développeuse informatique
M1806;Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information
M1810;Technicien / Technicienne d'exploitation informatique
M1811;Data engineer
M1812;Responsable de la Sécurité des Systèmes d'Information (RSSI)
M1813;Intégrateur / Intégratrice logiciels métiers
M1814;Scrum Master
M1815;Spécialiste test et validation logiciel ou application
M1816;Technicien / Technicienne réseaux informatiques et télécoms
M1817;Administrateur / Administratrice sécurité informatique
M1818;Ingénieur / Ingénieure d'étude informatique
M1819;Ingénieur / Ingénieure sécurité informatique
M1820;Expert / Experte méthodes et qualité informatique
M1821;Analyste d'application informatique
M1822;Ingénieur / Ingénieure systèmes et réseaux informatiques
M1824;Développeur / Développeuse décisionnel - Business Intelligence
M1826;Ingénieur / Ingénieure supervision IT Datacenter
M1827;Ingénieur / Ingénieure DevOps
M1828;Chef de projet / Cheffe de projet (Project Management Officer)
M1829;Ingénieur / Ingénieure systèmes et réseaux des territoires connectés
M1830;Administrateur / Administratrice réseaux - télécoms
M1831;Développeur / Développeuse - jeux vidéo
M1832;Homologateur / Homologatrice fonctionnel de logiciel
M1833;Ingénieur / Ingénieure sécurité web
M1834;Administrateur / Administratrice de site internet
M1835;Architecte systèmes et réseaux des territoires connectés
M1836;Ingénieur concepteur / Ingénieure conceptrice informatique
M1837;Développeur / Développeuse multimédia
M1838;Urbaniste des systèmes d'information
M1839;Architecte systèmes et réseaux
M1840;Directeur / Directrice de projets des territoires connectés
M1841;Ingénieur informaticien / Ingénieure informaticienne
M1842;Qualiticien / Qualiticienne logiciel en informatique
M1843;Administrateur / Administratrice de serveurs
M1844;Analyste en cybersécurité
M1845;Architecte IoT - Internet des Objets
M1846;Ingénieur / Ingénieure Cybersécurité Datacenter
M1847;Expert / Experte en communication et réseaux
M1848;Analyste Concepteur / Conceptrice informatique
M1849;Administrateur / Administratrice de messagerie
M1850;Architecte multimédias interactifs
M1852;Analyste d'étude informatique
M1853;Chef / Cheffe de projet étude et développement informatique
M1854;Administrateur / Administratrice réseau informatique
M1855;Développeur / Développeuse web
M1856;Expert / Experte en cybersécurité
M1857;Urbaniste Datacenter
M1858;Chef / Cheffe de projet TMA - Tierce Maintenance Applicative
M1859;Chef / Cheffe de projet maîtrise d'œuvre informatique
M1860;Architecte cloud
M1861;Développeur / Développeuse logiciel ou d'application
M1862;Responsable d'exploitation fibre optique
M1863;Evaluateur / Evaluatrice sécurité des systèmes et produits informatiques
M1864;Product Owner
M1865;Ingénieur / Ingénieure blockchain
M1866;Pentesteur / Pentesteuse
M1867;Responsable des systèmes d'information (SI)
M1868;Architecte base de données
M1869;Gestionnaire de parc informatique
M1870;Directeur / Directrice de projet en informatique
M1871;Gestionnaire d'applications système d'information
M1872;Consultant décisionnel / Consultante décisionnelle - Business Intelligence
M1873;Spécialiste IA embarquée
M1874;Spécialiste support
M1875;Coordinateur / Coordinatrice Maitrise d'Ouvrage Système d'Information (MOA SI)
M1876;Technicien / Technicienne Cloud
M1877;Développeur / Développeuse blockchain
M1878;Responsable de la production informatique
M1879;Ingénieur / Ingénieure Cloud computing
M1880;Spécialiste e-santé
M1881;Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA)
M1882;Architecte sécurité informatique
M1883;Analyste SOC (Security Operations Center)
M1884;Ingénieur / Ingénieure systèmes, réseaux et sécurité informatique
M1886;Chef / Cheffe de projet Web
M1887;Product builder no code
M1889;Ingénieur / Ingénieure en Intelligence Artificielle (IA)
M1892;Ingénieur / Ingénieure en informatique embarquée
63;Services d'information
;
E1101;Community manager
E1104;Concepteur / Conceptrice de contenus multimedia
E1105;Editeur / Editrice
E1106;Journaliste
E1109;Directeur / Directrice de la communication
E1110;Directeur / Directrice de la rédaction
E1114;Reporter / Reportrice
E1116;Responsable d'édition en presse
E1118;Présentateur / Présentatrice journaliste
E1406;Influenceur / Influenceuse web
E1407;Traffic manager
I1403;Technicien / Technicienne Datacenter
K2139;Chargé / Chargée de bilan professionnel
M1405;Data scientist
M1419;Data analyst
M1423;Chief Data Officer
M1716;Directeur / Directrice marketing digital
M1717;Responsable innovation
M1718;Chargé / Chargée de marketing digital
M1801;Administrateur / Administratrice de systèmes d'information (SI)
M1811;Data engineer
M1814;Scrum Master
M1815;Spécialiste test et validation logiciel ou application
M1818;Ingénieur / Ingénieure d'étude informatique
M1821;Analyste d'application informatique
M1824;Développeur / Développeuse décisionnel - Business Intelligence
M1825;Coordinateur / Coordinatrice de production web
M1827;Ingénieur / Ingénieure DevOps
M1831;Développeur / Développeuse - jeux vidéo
M1832;Homologateur / Homologatrice fonctionnel de logiciel
M1836;Ingénieur concepteur / Ingénieure conceptrice informatique
M1844;Analyste en cybersécurité
M1851;Analyste décisionnel - Business Intelligence
M1852;Analyste d'étude informatique
M1894;Gestionnaire de base de données
N4110;Releveur / Releveuse de compteurs
64;Activites des services financiers, hors assurance et caisses de retraite
;
C1201;Chargé / Chargée d'accueil en banque
C1202;Analyste de crédits et risques bancaires
C1203;Chargé / Chargée d'affaires bancaires entreprise
C1204;Gestionnaire de produits bancaires
C1205;Conseiller / Conseillère en gestion de patrimoine
C1206;Conseiller / Conseillère de clientèle bancaire
C1207;Directeur / Directrice d'agence bancaire
C1208;Courtier / Courtière en banque
C1301;Trader
C1302;Gestionnaire des opérations sur les marchés financiers
C1303;Gérant / Gérante de portefeuille financier
C1401;Agent administratif / Agente administrative banque ou assurance
I1105;Responsable de maintenance et d'exploitation
I1322;Technicien / Technicienne de maintenance des automates bancaires
K1503;Contrôleur / Contrôleuse des impôts
K1504;Percepteur / Perceptrice des impôts et du Trésor Public
K1510;Contrôleur / Contrôleuse du Trésor public
K1511;Inspecteur / Inspectrice des impôts
K1908;Responsable de service contentieux et recouvrement
K1910;Commissaire à la Cour des comptes
M1201;Analyste financier / Analyste financière
M1205;Directeur / Directrice des services administratifs et financiers
M1207;Trésorier / Trésorière
M1219;Conseiller / Conseillère en fusion et acquisition
M1221;Responsable financement de projet
M1223;Chef / Cheffe des services administratifs et financiers
M1224;Economiste financier / Economiste financière
65;Assurance
;
C1101;Chargé / Chargée de produit en assurances
C1102;Conseiller / Conseillère en assurances
C1103;Courtier / Courtière en assurance
C1104;Responsable d'agence en assurances
C1105;Actuaire
C1107;Chargé / Chargée d'indemnisations en assurances
C1108;Responsable de département en assurances
C1109;Gestionnaire en assurances
C1110;Souscripteur / Souscriptrice en assurances
C1111;Mandataire en assurance
C1112;Agent général / Agente générale d'assurance
C1113;Expert / Experte en assurances dommages automobile
C1209;Spécialiste de la vérification client
D1408;Conseiller / Conseillère clientèle à distance
M1823;Consultant / Consultante avant-vente
66;Activites auxiliaires de services financiers et d'assurance
;
C1101;Chargé / Chargée de produit en assurances
C1102;Conseiller / Conseillère en assurances
C1103;Courtier / Courtière en assurance
C1104;Responsable d'agence en assurances
C1105;Actuaire
C1106;Expert / Experte risques en assurances
C1107;Chargé / Chargée d'indemnisations en assurances
C1108;Responsable de département en assurances
C1109;Gestionnaire en assurances
C1110;Souscripteur / Souscriptrice en assurances
C1111;Mandataire en assurance
C1112;Agent général / Agente générale d'assurance
C1201;Chargé / Chargée d'accueil en banque
C1205;Conseiller / Conseillère en gestion de patrimoine
C1206;Conseiller / Conseillère de clientèle bancaire
C1207;Directeur / Directrice d'agence bancaire
C1208;Courtier / Courtière en banque
C1301;Trader
C1302;Gestionnaire des opérations sur les marchés financiers
C1303;Gérant / Gérante de portefeuille financier
C1401;Agent administratif / Agente administrative banque ou assurance
D1408;Conseiller / Conseillère clientèle à distance
M1202;Auditeur comptable et financier / Auditrice comptable et financière
68;Activites immobilieres
;
C1501;Gestionnaire de copropriété
C1502;Chargé / Chargée de gestion locative en immobilier
C1503;Chargé / Chargée d'affaires immobilières
C1504;Conseiller / Conseillère immobilier
C1505;Responsable d'agence immobilière
C1506;Responsable de projet immobilier
F1133;Chargé / Chargée d'affaires foncières
I1105;Responsable de maintenance et d'exploitation
I1203;Agent / Agente d'entretien du bâtiment
K2501;Gardien / Gardienne d'immeuble
69;Activites juridiques et comptables
;
C1205;Conseiller / Conseillère en gestion de patrimoine
H1509;Responsable des affaires règlementaires en industrie pharmaceutique
H1519;Responsable éthique-déontologie-conformité en industrie pharmaceutique
K1102;Mandataire judiciaire à la protection des majeurs (MJPM)
K1504;Percepteur / Perceptrice des impôts et du Trésor Public
K1505;Inspecteur / Inspectrice des douanes
K1509;Adjoint / Adjointe de contrôle de la concurrence, de la consommation et de la répression des fraudes
K1510;Contrôleur / Contrôleuse du Trésor public
K1901;Notaire
K1902;Clerc de notaire
K1903;Juriste
K1904;Juge
K1905;Huissier / Huissière de justice
K1906;Délégué / Déléguée à la protection des données - Data Protection Officer
K1907;Commissaire-priseur / Commissaire-priseure
K1908;Responsable de service contentieux et recouvrement
K1909;Greffier / Greffière
K1910;Commissaire à la Cour des comptes
M1202;Auditeur comptable et financier / Auditrice comptable et financière
M1203;Comptable
M1204;Contrôleur / Contrôleuse de gestion
M1205;Directeur / Directrice des services administratifs et financiers
M1206;Responsable comptabilité
M1207;Trésorier / Trésorière
M1208;Responsable contrôle de gestion
M1209;Conseiller / Conseillère en gestion
M1210;Commissaire aux comptes
M1211;Expert-comptable / Experte-comptable
M1213;Assistant / Assistante comptable
M1214;Négociateur / Négociatrice en devises
M1215;Contrôleur comptable et financier / Contrôleuse comptable et financière
M1220;Credit manager
M1225;Aide-comptable
M1507;Gestionnaire paie
M1608;Secrétaire comptable
M1611;Secrétaire Facturier / Facturière
M1612;Assistant / Assistante de service juridique
7;Extraction de minerais metalliques
;
F1402;Extracteur / Extractrice de roches
H2903;Tourneur-fraiseur / Tourneuse-fraiseuse
70;Activites des sieges sociaux, conseil de gestion
;
A1312;Directeur / Directrice environnement
A1313;Chargé / Chargée de mission environnement
C1209;Spécialiste de la vérification client
D1405;Conseiller / Conseillère en information médicale
D1406;Directeur / Directrice des ventes
D1414;Responsable de zone internationale
E1103;Chargé / Chargée des relations publiques
E1109;Directeur / Directrice de la communication
E1112;Chargé / Chargée de communication
E1124;Social media manager - Responsable des médias sociaux
E1127;Brand content manager
E1128;Directeur / Directrice de création
E1129;Directeur / Directrice artistique communication
E1403;Consultant / Consultante média
E1405;Référenceur / Référenceuse web
E1406;Influenceur / Influenceuse web
F1133;Chargé / Chargée d'affaires foncières
H1207;Rédacteur / Rédactrice technique
H1234;Responsable de service de rédaction technique
H1507;Chargé / Chargée des affaires réglementaires
K1103;Conseiller / Conseillère en développement personnel
K1802;Chargé / Chargée de développement économique et local
K1803;Animateur / Animatrice de développement régional
M1102;Responsable des achats
M1204;Contrôleur / Contrôleuse de gestion
M1207;Trésorier / Trésorière
M1208;Responsable contrôle de gestion
M1209;Conseiller / Conseillère en gestion
M1211;Expert-comptable / Experte-comptable
M1216;Secrétaire général / Secrétaire générale
M1218;Directeur / Directrice de l'environnement de travail
M1220;Credit manager
M1221;Responsable financement de projet
M1222;Assistant / Assistante de contrôle budgétaire
M1223;Chef / Cheffe des services administratifs et financiers
M1301;Dirigeant / Dirigeante d'entreprise privée
M1302;Responsable de Petite ou Moyenne Entreprise -PME-
M1303;Directeur / Directrice de filiale
M1304;Directeur / Directrice d'unité de services au public
M1402;Responsable en organisation en entreprise
M1403;Chargé / Chargée d'études socio-économiques
M1406;Responsable RSE - Responsabilité Sociétale de l'Entreprise
M1409;Ingénieur / Ingénieure économiste en entreprise
M1410;Responsable Green IT
M1411;Consultant / Consultante en énergie renouvelable
M1413;Chargé / Chargée de mission RSE - Responsabilité Sociétale de l'Entreprise
M1415;Auditeur social / Auditrice sociale
M1416;Animateur / Animatrice qualité services
M1417;Intervenant / Intervenante en Prévention des Risques Professionnels - IPRP
M1420;Responsable en intelligence économique
M1422;Directeur / Directrice d'études socio-économiques
M1424;Consultant / Consultante en intelligence économique
M1427;Animateur / Animatrice de réseau d'entreprises
M1428;Directeur / Directrice qualité services
M1429;Consultant / Consultante en management
M1430;Chargé / Chargée d'études commerciales
M1501;Assistant / Assistante Ressources Humaines (RH)
M1503;Directeur / Directrice des Ressources Humaines (DRH)
M1505;Chargé / Chargée de formation en entreprise
M1507;Gestionnaire paie
M1508;Conseiller / Conseillère en gestion de carrière
M1509;Responsable paie et administration du personnel
M1510;Chargé / Chargée de mission RH diversité handicap
M1511;Responsable Qualité de Vie au Travail
M1512;Directeur / Directrice des relations sociales
M1604;Assistant / Assistante de direction
M1611;Secrétaire Facturier / Facturière
M1702;Planneur / Planneuse stratégique
M1703;Chef / Cheffe de produit
M1705;Responsable marketing
M1707;Responsable Commercial / Commerciale
M1711;Directeur / Directrice du marketing
M1715;Directeur commercial / Directrice commerciale
M1716;Directeur / Directrice marketing digital
M1718;Chargé / Chargée de marketing digital
N1305;Ingénieur / Ingénieure logistique
71;Activites d'architecture et d'ingenierie, activites de controle et analyses techniques
;
A1206;Concepteur / Conceptrice paysagiste
B1702;Technicien / Technicienne en ostéologie-moulage
C1503;Chargé / Chargée d'affaires immobilières
F1101;Architecte du bâtiment
F1102;Architecte d'intérieur
F1103;Diagnostiqueur / Diagnostiqueuse immobilier
F1106;Ingénieur / Ingénieure d'études de prix BTP
F1107;Géomètre-topographe
F1108;Métreur / Métreuse de la construction
F1109;Assistant / Assistante géomètre
F1110;Dessinateur / Dessinatrice enveloppe du bâtiment
F1111;Ingénieur / Ingénieure génie civil
F1112;Ingénieur / Ingénieure calcul et structure
F1113;Responsable énergie
F1114;Conseiller / Conseillère en rénovation énergétique
F1117;Ingénieur / Ingénieure d'étude CVC
F1120;Economiste de la construction
F1121;Architecte du patrimoine national
F1124;Hydrologue
F1125;BIM Manager
F1126;Assistant / Assistante maîtrise d'œuvre en architecture
F1127;Architecte-urbaniste
F1130;Contrôleur / Contrôleuse technique de la construction (CTC)
F1132;Acousticien / Acousticienne du bâtiment
F1134;Domoticien / Domoticienne
F1137;Chargé / Chargée de méthodes BTP
F1138;Géothermicien / Géothermicienne
F1139;Décorateur / Décoratrice d'intérieur
F1141;Ingénieur / Ingénieure études conception électrique
F1204;Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP
H1202;Dessinateur / Dessinatrice en électricité-électronique
H1209;Technicien / Technicienne en électricité et électronique études et développement
H1227;Maquettiste en électronique
H1228;Projeteur / Projeteuse chef de groupe en électricité-électronique
H1236;Dessinateur-projeteur / Dessinatrice-projeteuse en électricité-électronique
H1237;Ingénieur / Ingénieure énergies renouvelables
H1239;Technicien / Technicienne en conception électronique, électrique
H1301;Inspecteur / Inspectrice de conformité
H1304;Responsable environnement en industrie
H1501;Responsable de laboratoire d'analyse industrielle
H1502;Responsable qualité en industrie
H1503;Technicien / Technicienne de laboratoire d'analyse industrielle
H1504;Contrôleur / Contrôleuse technique en électricité-électronique
H1505;Nez
H1506;Contrôleur / Contrôleuse technique en métallurgie
H1508;Assureur / Assureuse qualité industrie
H1523;Responsable Qualité Sécurité Environnement -QSE- en industrie
